"Periode","Lag","Effect","Cause","PLCMF_Value","Sig_PLCMF","Bound"
"PERIOD_2",11,"region_1","region_2",0.139061,TRUE,0.015464
"PERIOD_2",11,"region_1","region_3",0.00449,FALSE,0.015464
"PERIOD_2",11,"region_1","region_4",0.028405,TRUE,0.015464
"PERIOD_2",11,"region_1","region_5",0.008317,FALSE,0.015464
"PERIOD_2",11,"region_1","region_6",-0.056389,TRUE,0.015464
"PERIOD_2",11,"region_2","region_1",-0.112233,TRUE,0.015464
"PERIOD_2",11,"region_2","region_2",0.191942,TRUE,0.015464
"PERIOD_2",11,"region_2","region_3",-0.026485,TRUE,0.015464
"PERIOD_2",11,"region_2","region_4",0.020109,TRUE,0.015464
"PERIOD_2",11,"region_2","region_5",-0.0072,FALSE,0.015464
"PERIOD_2",11,"region_2","region_6",-0.111403,TRUE,0.015464
"PERIOD_2",11,"region_3","region_1",-0.123374,TRUE,0.015464
"PERIOD_2",11,"region_3","region_2",0.103563,TRUE,0.015464
"PERIOD_2",11,"region_3","region_3",-0.033879,TRUE,0.015464
"PERIOD_2",11,"region_3","region_4",0.056219,TRUE,0.015464
"PERIOD_2",11,"region_3","region_5",-0.021476,TRUE,0.015464
"PERIOD_2",11,"region_3","region_6",-0.004432,FALSE,0.015464
"PERIOD_2",11,"region_4","region_1",-0.143587,TRUE,0.015464
"PERIOD_2",11,"region_4","region_2",0.101391,TRUE,0.015464
"PERIOD_2",11,"region_4","region_3",0.003956,FALSE,0.015464
"PERIOD_2",11,"region_4","region_4",0.039672,TRUE,0.015464
"PERIOD_2",11,"region_4","region_5",0.000439,FALSE,0.015464
"PERIOD_2",11,"region_4","region_6",0.005988,FALSE,0.015464
"PERIOD_2",11,"region_5","region_1",-0.112628,TRUE,0.015464
"PERIOD_2",11,"region_5","region_2",0.123458,TRUE,0.015464
"PERIOD_2",11,"region_5","region_3",-0.014583,FALSE,0.015464
"PERIOD_2",11,"region_5","region_4",0.027367,TRUE,0.015464
"PERIOD_2",11,"region_5","region_5",0.014733,FALSE,0.015464
