Split,Window,Period,Region,Model,RMSE,MAPE,SMAPE
Testing,"January 1, 2025 - January 15, 2025",Period_2,Region 3,GRU-PLCMF,88.4756,6.3568,6.1898
Testing,"January 1, 2025 - January 15, 2025",Period_2,Region 4,GRU-SW,36.5713,4.796,4.5833
Testing,"January 1, 2025 - January 15, 2025",Period_2,Region 4,GRU-PACF,36.2816,4.5622,4.3485
Testing,"January 1, 2025 - January 15, 2025",Period_2,Region 4,GRU-PLCMF,43.9577,5.7398,5.4078
Testing,"January 1, 2025 - January 15, 2025",Period_2,Region 5,GRU-SW,56.1519,9.1858,8.7238
Testing,"January 1, 2025 - January 15, 2025",Period_2,Region 5,GRU-PACF,57.7846,9.8007,9.6132
Testing,"January 1, 2025 - January 15, 2025",Period_2,Region 5,GRU-PLCMF,55.1053,9.4207,9.2038
Testing,"January 1, 2025 - January 15, 2025",Period_2,Region 6,GRU-SW,104.7089,6.0723,5.4989
Testing,"January 1, 2025 - January 15, 2025",Period_2,Region 6,GRU-PACF,110.679,7.7429,7.3122
Testing,"January 1, 2025 - January 15, 2025",Period_2,Region 6,GRU-PLCMF,101.808,5.1457,4.5258
Testing,"January 1, 2025 - January 15, 2025",Period_3,Region 1,GRU-SW,64.1279,7.4516,7.1927
Testing,"January 1, 2025 - January 15, 2025",Period_3,Region 1,GRU-PACF,68.3183,7.8639,7.6101
